1	0	3
1	36	7
1	4	6
1	7	3
1	14	4
1	15	4
1	23	2
1	34	5
1	3	2
1	5	2
1	8	3
1	11	2
1	10	2
1	13	3
1	20	1
1	22	1
1	26	2
1	35	5
1	29	1
1	38	2
1	9	2
1	16	1
1	17	1
1	19	2
1	21	1
1	25	1
1	28	1
1	32	1
1	27	1
1	37	1
1	6	1
0	36	3
0	4	3
0	7	3
0	14	3
0	15	3
0	23	2
0	34	3
0	39	1
0	3	2
0	5	2
0	8	2
0	11	2
0	10	2
0	13	2
0	20	1
0	22	1
0	26	1
0	35	2
0	38	1
0	9	1
0	16	1
0	17	1
0	19	1
0	21	1
0	25	1
0	28	1
0	32	1
0	27	1
0	37	1
0	6	1
36	4	13
36	7	3
36	14	5
36	15	8
36	23	2
36	34	8
36	39	1
36	3	1
36	5	1
36	8	2
36	11	3
36	10	5
36	13	5
36	20	5
36	22	4
36	26	3
36	35	4
36	29	1
36	38	2
36	9	2
36	19	3
36	21	5
36	25	2
36	28	2
36	32	1
4	7	3
4	14	5
4	15	7
4	23	3
4	34	6
4	39	1
4	3	1
4	5	1
4	8	2
4	11	4
4	10	3
4	13	4
4	20	3
4	22	2
4	26	2
4	35	4
4	29	1
4	38	2
4	9	2
4	16	1
4	17	1
4	19	2
4	21	2
4	28	1
4	32	1
4	27	1
4	37	1
4	6	1
7	14	3
7	15	3
7	23	2
7	34	3
7	39	1
7	3	2
7	5	2
7	8	2
7	11	2
7	10	2
7	13	2
7	20	1
7	22	1
7	26	1
7	35	2
7	38	1
7	9	1
7	16	1
7	17	1
7	19	1
7	21	1
7	25	1
7	28	1
7	32	1
7	27	1
7	37	1
7	6	1
14	15	5
14	23	3
14	34	5
14	39	1
14	3	2
14	5	2
14	8	3
14	11	2
14	10	2
14	13	3
14	20	1
14	22	1
14	26	2
14	35	4
14	29	1
14	38	2
14	9	2
14	16	1
14	17	1
14	19	2
14	21	1
14	25	1
14	28	1
14	32	1
14	27	1
14	37	1
14	6	1
15	23	3
15	34	5
15	39	1
15	3	2
15	5	2
15	8	2
15	11	3
15	10	2
15	13	3
15	20	1
15	22	1
15	26	1
15	35	4
15	38	2
15	9	2
15	16	1
15	17	1
15	19	2
15	21	1
15	25	1
15	28	1
15	32	1
15	27	1
15	37	1
15	6	1
23	34	2
23	39	1
23	3	1
23	5	1
23	8	1
23	11	1
23	10	1
23	13	2
23	20	1
23	22	1
23	35	2
23	38	1
23	9	1
23	16	1
23	17	1
23	19	2
23	21	1
23	28	1
23	32	1
23	27	1
23	37	1
23	6	1
34	39	1
34	3	2
34	5	2
34	8	3
34	11	3
34	10	3
34	13	2
34	20	3
34	22	1
34	26	2
34	35	4
34	29	1
34	38	2
34	9	2
34	16	1
34	17	1
34	19	1
34	21	2
34	25	1
34	28	1
34	32	1
34	27	1
34	37	1
34	6	1
3	5	2
3	8	2
3	11	2
3	10	2
3	13	2
3	20	1
3	22	1
3	26	1
3	35	2
3	38	1
3	9	1
3	16	1
3	17	1
3	19	1
3	21	1
3	25	1
3	28	1
3	32	1
3	27	1
3	37	1
3	6	1
5	8	2
5	11	2
5	10	2
5	13	2
5	20	1
5	22	1
5	26	1
5	35	2
5	38	1
5	9	1
5	16	1
5	17	1
5	19	1
5	21	1
5	25	1
5	28	1
5	32	1
5	27	1
5	37	1
5	6	1
8	11	2
8	10	2
8	13	2
8	20	1
8	22	1
8	26	2
8	35	3
8	29	1
8	38	2
8	9	2
8	16	1
8	17	1
8	19	1
8	21	1
8	25	1
8	28	1
8	32	1
8	27	1
8	37	1
8	6	1
11	10	3
11	13	3
11	20	3
11	22	2
11	26	1
11	35	2
11	38	1
11	9	1
11	16	1
11	17	1
11	19	1
11	21	1
11	25	1
11	28	1
11	32	1
11	27	1
11	37	1
11	6	1
10	13	4
10	20	3
10	22	2
10	26	2
10	35	2
10	38	1
10	9	1
10	16	1
10	17	1
10	19	2
10	21	3
10	25	1
10	28	2
10	32	1
10	27	1
10	37	1
10	6	1
13	20	2
13	22	3
13	26	2
13	35	3
13	38	1
13	9	1
13	16	1
13	17	1
13	19	3
13	21	2
13	25	1
13	28	1
13	32	1
13	27	1
13	37	1
13	6	1
20	22	3
20	35	1
20	38	1
20	9	1
20	16	1
20	17	1
20	19	2
20	21	3
20	25	1
20	28	3
20	32	2
20	27	1
20	37	1
20	6	1
22	35	1
22	38	1
22	9	1
22	16	1
22	17	1
22	19	3
22	21	3
22	25	1
22	28	2
22	32	2
22	27	1
22	37	1
22	6	1
26	35	2
26	29	1
26	38	1
26	9	1
26	25	1
35	29	1
35	38	2
35	9	2
35	16	1
35	17	1
35	19	2
35	21	1
35	25	1
35	28	1
35	32	1
35	27	1
35	37	1
35	6	1
29	38	1
29	9	1
38	9	2
38	16	1
38	17	1
38	19	1
38	21	1
38	28	1
38	32	1
38	27	1
38	37	1
38	6	1
9	16	1
9	17	1
9	19	1
9	21	1
9	28	1
9	32	1
9	27	1
9	37	1
9	6	1
16	17	1
16	19	1
16	21	1
16	28	1
16	32	1
16	27	1
16	37	1
16	6	1
17	19	1
17	21	1
17	28	1
17	32	1
17	27	1
17	37	1
17	6	1
19	21	2
19	25	1
19	28	2
19	32	2
19	27	1
19	37	1
19	6	1
21	28	2
21	32	1
21	27	1
21	37	1
21	6	1
25	28	1
25	32	1
28	32	2
28	27	1
28	37	1
28	6	1
32	27	1
32	37	1
32	6	1
27	37	1
27	6	1
37	6	1
